Release Order (oldest→newest),CotEditor Version,App External ID,Release Date,App Item ID,Notes / Source
1,3.9.7,838263215,,1024640650,User provided (v3.9.7 confirmed on High Sierra and Mojave systems) | Last compatible version for macOS High Sierra | Last compatible version for macOS Mojave
2,4.0.9,845603009,,1024640650,User provided (v4.0.9 confirmed on Catalina system) | Last compatible version for macOS Catalina
3,4.5.9,859604178,,1024640650,User provided (v4.5.9 confirmed on Monterey system) | Last compatible version for macOS Monterey
